route_key,constraint_tag,objective_tag,init_source,n_problems,problem_weighted_success_rate,problem_success_any_rate,problem_median_best_nfev,problem_median_best_time,problem_median_best_f_final
B:LS,B,LS,cutest,24,0.75,0.75,59.5,0.059012171,0.064979268
B:LS,B,LS,llm_post,24,0.783333333,0.916666667,57,0.001373231,0.042257165
B:LS,B,LS,llm_raw,24,0.783333333,0.916666667,57,0.00144807,0.042257165
B:LS,B,LS,random_post,24,0.825,0.958333333,22,0.000476056,10.14029102
B:LS,B,LS,random_raw,24,0.825,0.958333333,22,0.000507619,10.14029102
BSmoothNLP,B,SmoothNLP,cutest,11,1,1,15,0.038469218,0
BSmoothNLP,B,SmoothNLP,llm_post,11,1,1,11,0.000325581,0
BSmoothNLP,B,SmoothNLP,llm_raw,11,1,1,11,0.000294871,0
BSmoothNLP,B,SmoothNLP,random_post,11,0.927272727,1,10,0.000317917,5.17E-42
BSmoothNLP,B,SmoothNLP,random_raw,11,0.927272727,1,10,0.000318177,5.17E-42
LCBSmoothNLP,LCB,SmoothNLP,cutest,28,0.892857143,0.892857143,14,0.026610183,-12.39282633
LCBSmoothNLP,LCB,SmoothNLP,llm_post,26,0.876923077,0.884615385,12,0.016843607,-12.39282933
LCBSmoothNLP,LCB,SmoothNLP,llm_raw,26,0.923076923,0.923076923,12.5,0.018417457,-8.963734584
LCBSmoothNLP,LCB,SmoothNLP,random_post,28,0.917857143,0.928571429,11.5,0.017138243,-5.392319877
LCBSmoothNLP,LCB,SmoothNLP,random_raw,28,0.964285714,0.964285714,3,0.045781707,-5.24999872
LEB:LS,LEB,LS,cutest,6,0.833333333,0.833333333,22,0.002638225,0.021620228
LEB:LS,LEB,LS,llm_post,6,0.833333333,0.833333333,22,0.000673901,0.021620228
LEB:LS,LEB,LS,llm_raw,6,0.833333333,0.833333333,21,0.000637779,0.021620228
LEB:LS,LEB,LS,random_post,6,0.833333333,0.833333333,19,0.000758023,0.023659274
LEB:LS,LEB,LS,random_raw,6,0.833333333,0.833333333,21,0.001077596,0.028453102
LEBSmoothNLP,LEB,SmoothNLP,cutest,24,0.916666667,0.916666667,2,0.002399252,0
LEBSmoothNLP,LEB,SmoothNLP,llm_post,24,0.916666667,0.916666667,5.5,0.000370619,6.16E-33
LEBSmoothNLP,LEB,SmoothNLP,llm_raw,24,0.916666667,0.916666667,2.5,0.000276974,0
LEBSmoothNLP,LEB,SmoothNLP,random_post,24,0.916666667,0.916666667,2,0.000343261,0
LEBSmoothNLP,LEB,SmoothNLP,random_raw,24,1,1,1,0.000388032,7.32E-15
NLC:LS,NLC,LS,cutest,11,1,1,14,0.022088213,0.002569477
NLC:LS,NLC,LS,llm_post,11,1,1,14,0.01688672,0.002569477
NLC:LS,NLC,LS,llm_raw,11,1,1,14,0.016516336,0.002569477
NLC:LS,NLC,LS,random_post,11,0.918181818,1,13,0.048578622,0.250001039
NLC:LS,NLC,LS,random_raw,11,1,1,6,0.101259007,4.50E+38
NLC:Nonsmooth,NLC,Nonsmooth,cutest,6,0.833333333,0.833333333,31,0.215802342,1.28E-05
NLC:Nonsmooth,NLC,Nonsmooth,llm_post,5,0.6,0.6,17,0.023768669,1.28E-05
NLC:Nonsmooth,NLC,Nonsmooth,llm_raw,5,0.6,0.6,17,0.022133071,1.28E-05
NLC:Nonsmooth,NLC,Nonsmooth,random_post,6,0.966666667,1,18,0.032267889,-1.501112864
NLC:Nonsmooth,NLC,Nonsmooth,random_raw,6,0.983333333,1,15.5,0.027878433,-1.501114026
NLC:SmoothNLP,NLC,SmoothNLP,cutest,145,0.779310345,0.779310345,10,0.022558684,9.33E-42
NLC:SmoothNLP,NLC,SmoothNLP,llm_post,142,0.742253521,0.753521127,12,0.017249674,6.04E-31
NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,142,0.763380282,0.781690141,10,0.013657564,1.67E-37
NLC:SmoothNLP,NLC,SmoothNLP,random_post,145,0.933103448,0.972413793,1,0.045971198,0
NLC:SmoothNLP,NLC,SmoothNLP,random_raw,145,0.98137931,0.986206897,1,0.086626411,0
U:LS,U,LS,cutest,21,1,1,21,0.059985688,0.000307801
U:LS,U,LS,llm_post,20,0.94,1,23,0.000656517,0.000154028
U:LS,U,LS,llm_raw,20,0.94,1,23,0.000677751,0.000154028
U:LS,U,LS,random_post,21,0.852380952,0.952380952,25.5,0.000562308,0.612603993
U:LS,U,LS,random_raw,21,0.852380952,0.952380952,25.5,0.000657503,0.612603993
USmoothNLP,U,SmoothNLP,cutest,20,0.85,0.85,38,0.051135031,0.019537638
USmoothNLP,U,SmoothNLP,llm_post,20,0.69,0.9,40.5,0.00106151,0.016953263
USmoothNLP,U,SmoothNLP,llm_raw,20,0.69,0.9,40.5,0.00105471,0.016953263
USmoothNLP,U,SmoothNLP,random_post,20,0.64,0.8,150,0.002135816,135.0201861
USmoothNLP,U,SmoothNLP,random_raw,20,0.64,0.8,150,0.002555471,135.0201861
