route_key,constraint_tag,objective_tag,init_source,n_problems,problem_weighted_success_rate,problem_median_best_nfev,problem_median_best_time,problem_median_best_f_final,problem_median_best_nfev_cost_capped,problem_median_best_time_cost_capped,problem_median_total_time_sec,problem_median_total_nfev
B:LS,B,LS,cutest,24,0.75,59.5,0.059012171001086244,0.06497926846250719,168.5,0.06830985550004698,,
B:LS,B,LS,llm_post,24,0.9166666666666666,57.0,0.0013732309998886194,0.0422571651889259,76.5,0.0019751579984585987,,
B:LS,B,LS,llm_raw,24,0.9166666666666666,57.0,0.0014480699992418522,0.0422571651889259,76.5,0.0022337885002343683,,
B:LS,B,LS,random_post,24,0.9583333333333334,22.0,0.00047605600047972985,10.140291018399994,22.5,0.0005341500018403167,0.0219460829939635,296.5
B:LS,B,LS,random_raw,24,0.9583333333333334,22.0,0.000507619002746651,10.140291018399994,22.5,0.0005131430007168092,0.03882972300380061,296.5
BSmoothNLP,B,SmoothNLP,cutest,11,1.0,15.0,0.0384692180014099,0.0,15.0,0.0384692180014099,,
BSmoothNLP,B,SmoothNLP,llm_post,11,1.0,11.0,0.0003255810006521642,0.0,11.0,0.0003255810006521642,,
BSmoothNLP,B,SmoothNLP,llm_raw,11,1.0,11.0,0.0002948709989141207,0.0,11.0,0.0002948709989141207,,
BSmoothNLP,B,SmoothNLP,random_post,11,1.0,10.0,0.00031791700166650116,5.165746658887007e-42,10.0,0.00031791700166650116,0.007768193001538748,158.0
BSmoothNLP,B,SmoothNLP,random_raw,11,1.0,10.0,0.0003181770007358864,5.165746658887007e-42,10.0,0.0003181770007358864,0.019899241997336503,158.0
LCBSmoothNLP,LCB,SmoothNLP,cutest,28,0.8928571428571429,14.0,0.02661018300204887,-12.392826326676047,15.0,0.028924859001563163,,
LCBSmoothNLP,LCB,SmoothNLP,llm_post,26,0.8846153846153846,12.0,0.01684360699800891,-12.39282933042325,13.0,0.01937137149980117,,
LCBSmoothNLP,LCB,SmoothNLP,llm_raw,26,0.9230769230769231,12.5,0.01841745699857711,-8.963734583562358,13.0,0.018757470998025383,,
LCBSmoothNLP,LCB,SmoothNLP,random_post,28,0.9285714285714286,11.5,0.017138243498266093,-5.39231987719073,12.0,0.017220436498973868,0.39000382099948183,136.0
LCBSmoothNLP,LCB,SmoothNLP,random_raw,28,0.9642857142857143,3.0,0.045781706998241134,-5.249998719994773,5.5,0.06041121399903204,0.7748672849957075,74.0
LEB:LS,LEB,LS,cutest,6,0.8333333333333334,22.0,0.0026382249998277985,0.02162022801668172,24.0,0.0027901065004698467,,
LEB:LS,LEB,LS,llm_post,6,0.8333333333333334,22.0,0.0006739009986631572,0.021620228016681724,24.0,0.0007520684994233306,,
LEB:LS,LEB,LS,llm_raw,6,0.8333333333333334,21.0,0.0006377790014084894,0.021620228016681075,23.5,0.0006914945006428752,,
LEB:LS,LEB,LS,random_post,6,0.8333333333333334,19.0,0.0007580229976156261,0.023659274249230568,21.5,0.000974141999904532,0.40286890100105666,240.0
LEB:LS,LEB,LS,random_raw,6,0.8333333333333334,21.0,0.0010775959999591578,0.028453102228253348,23.5,0.0021094290004839422,0.5574633705000451,258.5
LEBSmoothNLP,LEB,SmoothNLP,cutest,24,0.9166666666666666,2.0,0.002399252001850982,0.0,2.5,0.0024629939998703776,,
LEBSmoothNLP,LEB,SmoothNLP,llm_post,24,0.9166666666666666,5.5,0.0003706189982040087,6.162975822039155e-33,7.0,0.00038356249933713116,,
LEBSmoothNLP,LEB,SmoothNLP,llm_raw,24,0.9166666666666666,2.5,0.0002769744987745071,0.0,4.0,0.00031261749973054975,,
LEBSmoothNLP,LEB,SmoothNLP,random_post,24,0.9166666666666666,2.0,0.0003432614994380856,0.0,2.0,0.00036532599915517494,0.008019469501959975,26.5
LEBSmoothNLP,LEB,SmoothNLP,random_raw,24,1.0,1.0,0.0003880320018652128,7.32098000993878e-15,1.0,0.0003880320018652128,0.04700597949522489,23.0
NLC:LS,NLC,LS,cutest,11,1.0,14.0,0.022088213001552504,0.002569477078950361,14.0,0.022088213001552504,,
NLC:LS,NLC,LS,llm_post,11,1.0,14.0,0.016886719997273758,0.0025694770788186653,14.0,0.016886719997273758,,
NLC:LS,NLC,LS,llm_raw,11,1.0,14.0,0.01651633599976776,0.0025694770788461333,14.0,0.01651633599976776,,
NLC:LS,NLC,LS,random_post,11,1.0,13.0,0.048578621997876326,0.25000103913410543,13.0,0.048578621997876326,0.9862362400017446,130.0
NLC:LS,NLC,LS,random_raw,11,1.0,6.0,0.10125900700222701,4.496191591369598e+38,6.0,0.10125900700222701,1.0510938400002487,67.0
NLC:Nonsmooth,NLC,Nonsmooth,cutest,6,0.8333333333333334,31.0,0.21580234200155246,1.2805923192772798e-05,67.5,0.3861671735012351,,
NLC:Nonsmooth,NLC,Nonsmooth,llm_post,5,0.6,17.0,0.023768669001583476,1.2805493621361454e-05,25.0,0.02892232799786143,,
NLC:Nonsmooth,NLC,Nonsmooth,llm_raw,5,0.6,17.0,0.02213307099736994,1.2805612391376558e-05,25.0,0.02722373800133937,,
NLC:Nonsmooth,NLC,Nonsmooth,random_post,6,1.0,18.0,0.032267888500427944,-1.5011128642246208,18.0,0.032267888500427944,0.41684527400320803,245.0
NLC:Nonsmooth,NLC,Nonsmooth,random_raw,6,1.0,15.5,0.027878433000296354,-1.5011140255948978,15.5,0.027878433000296354,0.35384213300130796,236.0
NLC:SmoothNLP,NLC,SmoothNLP,cutest,145,0.7793103448275862,10.0,0.02255868399879546,9.327042578545982e-42,16.0,0.02820174299995415,,
NLC:SmoothNLP,NLC,SmoothNLP,llm_post,142,0.7535211267605634,12.0,0.0172496740015049,6.039716305598372e-31,17.0,0.025085529499847325,,
NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,142,0.7816901408450704,10.0,0.013657564002642175,1.6739039555709374e-37,14.0,0.019486775501718512,,
NLC:SmoothNLP,NLC,SmoothNLP,random_post,145,0.9724137931034482,1.0,0.04597119800018845,0.0,1.0,0.07565761699879658,0.903566506000061,56.0
NLC:SmoothNLP,NLC,SmoothNLP,random_raw,145,0.9862068965517241,1.0,0.08662641100090696,0.0,1.0,0.08680583900058991,0.983061449998786,10.0
U:LS,U,LS,cutest,21,1.0,21.0,0.0599856879998697,0.0003078009501867874,21.0,0.0599856879998697,,
U:LS,U,LS,llm_post,20,1.0,23.0,0.000656517000606982,0.00015402782079108505,23.0,0.000656517000606982,,
U:LS,U,LS,llm_raw,20,1.0,23.0,0.0006777514990972122,0.00015402782079108505,23.0,0.0006777514990972122,,
U:LS,U,LS,random_post,21,0.9523809523809523,25.5,0.0005623079996439628,0.6126039933968437,26.0,0.0006107409972173627,0.015548761002719402,315.0
U:LS,U,LS,random_raw,21,0.9523809523809523,25.5,0.0006575030001840787,0.6126039933968437,26.0,0.0007917929979157634,0.04296087400143733,315.0
USmoothNLP,U,SmoothNLP,cutest,20,0.85,38.0,0.05113503099710215,0.019537638237262765,57.0,0.05927213299946743,,
USmoothNLP,U,SmoothNLP,llm_post,20,0.9,40.5,0.0010615099981805542,0.016953263338578956,57.0,0.0012906429983559065,,
USmoothNLP,U,SmoothNLP,llm_raw,20,0.9,40.5,0.001054709999152692,0.016953263338578956,57.0,0.0014306140001281165,,
USmoothNLP,U,SmoothNLP,random_post,20,0.8,150.0,0.0021358164995035622,135.0201861117218,171.0,0.003115772000455763,0.0453603674977785,616.5
USmoothNLP,U,SmoothNLP,random_raw,20,0.8,150.0,0.0025554710009600967,135.0201861117218,171.0,0.002943535499071004,0.06204915099806385,616.5
