route_key,constraint_tag,objective_tag,init_source,n_runs,success_rate,primary_hit_rate,backup_trigger_rate,median_nfev,median_time
B:LS,B,LS,cutest,24,0.75,0.75,0.0,59.5,0.059012171001086244
B:LS,B,LS,llm_post,120,0.7833333333333333,0.7833333333333333,0.0,82.5,0.0026871685004152823
B:LS,B,LS,llm_raw,120,0.7833333333333333,0.7833333333333333,0.0,82.5,0.003354432499691029
B:LS,B,LS,random_post,240,0.825,0.825,0.0,29.5,0.0008808524999039946
B:LS,B,LS,random_raw,240,0.825,0.825,0.0,29.5,0.0010113215012097498
BSmoothNLP,B,SmoothNLP,cutest,11,1.0,1.0,0.0,15.0,0.0384692180014099
BSmoothNLP,B,SmoothNLP,llm_post,55,1.0,1.0,0.0,15.0,0.0003783409993047826
BSmoothNLP,B,SmoothNLP,llm_raw,55,1.0,1.0,0.0,15.0,0.0003972589984186925
BSmoothNLP,B,SmoothNLP,random_post,110,0.9272727272727272,0.9272727272727272,0.0,16.0,0.0005271150002954528
BSmoothNLP,B,SmoothNLP,random_raw,110,0.9272727272727272,0.9272727272727272,0.0,16.0,0.0005994900002406212
LCBSmoothNLP,LCB,SmoothNLP,cutest,28,0.8928571428571429,0.7142857142857143,0.2857142857142857,14.0,0.02661018300204887
LCBSmoothNLP,LCB,SmoothNLP,llm_post,130,0.8769230769230769,0.7923076923076923,0.2076923076923077,13.0,0.019287281998913386
LCBSmoothNLP,LCB,SmoothNLP,llm_raw,130,0.9230769230769231,0.8384615384615385,0.16153846153846155,13.5,0.019961736999903223
LCBSmoothNLP,LCB,SmoothNLP,random_post,280,0.9178571428571428,0.8285714285714286,0.17142857142857143,13.0,0.021056887999293394
LCBSmoothNLP,LCB,SmoothNLP,random_raw,280,0.9642857142857143,0.9428571428571428,0.05714285714285714,7.0,0.061903206500574015
LEB:LS,LEB,LS,cutest,6,0.8333333333333334,0.8333333333333334,0.16666666666666666,22.0,0.0026382249998277985
LEB:LS,LEB,LS,llm_post,30,0.8333333333333334,0.8333333333333334,0.16666666666666666,22.0,0.0007142609974835068
LEB:LS,LEB,LS,llm_raw,30,0.8333333333333334,0.8333333333333334,0.16666666666666666,22.0,0.0007041150020086206
LEB:LS,LEB,LS,random_post,60,0.8333333333333334,0.5666666666666667,0.43333333333333335,25.0,0.002058007999949041
LEB:LS,LEB,LS,random_raw,60,0.8333333333333334,0.5333333333333333,0.4666666666666667,25.5,0.008759722000831971
LEBSmoothNLP,LEB,SmoothNLP,cutest,24,0.9166666666666666,0.9166666666666666,0.08333333333333333,2.0,0.002399252001850982
LEBSmoothNLP,LEB,SmoothNLP,llm_post,108,0.9074074074074074,0.9074074074074074,0.09259259259259259,5.0,0.0003730274984263815
LEBSmoothNLP,LEB,SmoothNLP,llm_raw,108,0.9074074074074074,0.9074074074074074,0.09259259259259259,5.0,0.00030277999940153677
LEBSmoothNLP,LEB,SmoothNLP,random_post,240,0.9166666666666666,0.7375,0.2625,2.0,0.0004908535011054482
LEBSmoothNLP,LEB,SmoothNLP,random_raw,240,1.0,0.7333333333333333,0.26666666666666666,1.0,0.0007131130005291197
NLC:LS,NLC,LS,cutest,11,1.0,0.9090909090909091,0.09090909090909091,14.0,0.022088213001552504
NLC:LS,NLC,LS,llm_post,55,1.0,0.8909090909090909,0.10909090909090909,14.0,0.024553148999984842
NLC:LS,NLC,LS,llm_raw,55,1.0,0.8909090909090909,0.10909090909090909,14.0,0.02559108599962201
NLC:LS,NLC,LS,random_post,110,0.9181818181818182,0.8909090909090909,0.10909090909090909,14.0,0.050968034000106854
NLC:LS,NLC,LS,random_raw,110,1.0,0.9727272727272728,0.02727272727272727,7.0,0.10537340399969253
NLC:Nonsmooth,NLC,Nonsmooth,cutest,6,0.8333333333333334,0.6666666666666666,0.3333333333333333,31.0,0.21580234200155246
NLC:Nonsmooth,NLC,Nonsmooth,llm_post,21,0.7142857142857143,0.7142857142857143,0.2857142857142857,17.0,0.03069867699741735
NLC:Nonsmooth,NLC,Nonsmooth,llm_raw,21,0.7142857142857143,0.7142857142857143,0.2857142857142857,17.0,0.02288350100207026
NLC:Nonsmooth,NLC,Nonsmooth,random_post,60,0.9666666666666667,0.9666666666666667,0.03333333333333333,22.5,0.046233284499976435
NLC:Nonsmooth,NLC,Nonsmooth,random_raw,60,0.9833333333333333,0.9833333333333333,0.016666666666666666,26.0,0.03705448699838598
NLC:SmoothNLP,NLC,SmoothNLP,cutest,145,0.7793103448275862,0.7517241379310344,0.2482758620689655,10.0,0.02255868399879546
NLC:SmoothNLP,NLC,SmoothNLP,llm_post,698,0.7435530085959885,0.7177650429799427,0.2822349570200573,12.0,0.019851805998769123
NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,698,0.7650429799426934,0.7464183381088825,0.25358166189111747,10.0,0.014282189998994
NLC:SmoothNLP,NLC,SmoothNLP,random_post,1450,0.9331034482758621,0.9089655172413793,0.0910344827586207,4.0,0.08474217900220538
NLC:SmoothNLP,NLC,SmoothNLP,random_raw,1450,0.9813793103448276,0.953103448275862,0.04689655172413793,1.0,0.09418195900070714
U:LS,U,LS,cutest,21,1.0,1.0,0.0,21.0,0.0599856879998697
U:LS,U,LS,llm_post,100,0.94,0.94,0.0,22.5,0.0008308670021506259
U:LS,U,LS,llm_raw,100,0.94,0.94,0.0,22.5,0.0007752785004413454
U:LS,U,LS,random_post,210,0.8523809523809524,0.8523809523809524,0.0,28.0,0.0008034649981709663
U:LS,U,LS,random_raw,210,0.8523809523809524,0.8523809523809524,0.0,28.0,0.0014115379999566358
USmoothNLP,U,SmoothNLP,cutest,20,0.85,0.85,0.0,38.0,0.05113503099710215
USmoothNLP,U,SmoothNLP,llm_post,100,0.69,0.69,0.0,34.0,0.0013057809992460534
USmoothNLP,U,SmoothNLP,llm_raw,100,0.69,0.69,0.0,34.0,0.0009847719993558712
