metric,compare_pair,alternative,wilcoxon_stat,p_value,paired_n,pair_total_n,median_left,median_right,median_diff,median_ratio,llm_present_rate
success_any,llm_post_vs_llm_raw,greater,4.0,0.9706091393223206,289,289,1.0,1.0,0.0,,0.9763513513513513
success_any,llm_post_vs_random_raw,greater,185.5,0.9999999316586269,289,289,1.0,1.0,0.0,,0.9763513513513513
success_any,llm_post_vs_random_post,greater,110.0,0.9999997578780991,289,289,1.0,1.0,0.0,,0.9763513513513513
success_any,llm_post_vs_cutest,greater,39.0,0.5,289,289,1.0,1.0,0.0,,0.9763513513513513
success_any,random_raw_vs_cutest,greater,1265.0,1.163319603801087e-07,296,296,1.0,1.0,0.0,,0.9763513513513513
success_any,random_post_vs_cutest,greater,960.0,7.413820077412913e-07,296,296,1.0,1.0,0.0,,0.9763513513513513
success_any,random_raw_vs_random_post,greater,35.0,0.0477903522728147,296,296,1.0,1.0,0.0,,0.9763513513513513
best_nfev,llm_post_vs_llm_raw,less,1577.0,0.9987731164021431,241,289,15.0,13.0,0.0,1.0,0.9763513513513513
best_nfev,llm_post_vs_random_raw,less,13607.0,0.9999996730614926,235,289,15.0,5.0,2.0,1.3636363636363635,0.9763513513513513
best_nfev,llm_post_vs_random_post,less,11544.5,0.9999864440502039,237,289,15.0,9.0,1.0,1.1,0.9763513513513513
best_nfev,llm_post_vs_cutest,less,2272.0,7.776272417559047e-06,236,289,14.0,14.0,0.0,1.0,0.9763513513513513
best_nfev,random_raw_vs_cutest,less,6096.0,1.0735592111759704e-06,240,296,5.0,14.0,-2.0,0.6833333333333333,0.9763513513513513
best_nfev,random_post_vs_cutest,less,6703.5,0.00015008676349842327,241,296,10.0,14.0,-2.0,0.875,0.9763513513513513
best_nfev,random_raw_vs_random_post,less,1148.5,0.0001473701375583335,279,296,4.0,8.0,0.0,1.0,0.9763513513513513
best_time,llm_post_vs_llm_raw,less,17442.0,0.9958699696188299,241,289,0.007275512001797324,0.007587420001073042,2.343500091228634e-05,1.0160631533850097,0.9763513513513513
best_time,llm_post_vs_random_raw,less,10827.0,0.0017955502133697942,235,289,0.0075424099995871074,0.011077499999373686,-4.4199987314641476e-07,0.9977211685317188,0.9763513513513513
best_time,llm_post_vs_random_post,less,13501.0,0.2849016380881084,237,289,0.007689034999202704,0.00896269300210406,6.281999958446249e-06,1.0086733485351116,0.9763513513513513
best_time,llm_post_vs_cutest,less,2120.0,6.637217659635395e-30,236,289,0.007762525998259662,0.026731680001830682,-0.0067889020010625245,0.48292580530819285,0.9763513513513513
best_time,random_raw_vs_cutest,less,12892.0,0.0726482976991583,240,296,0.01232617649839085,0.027047361500081024,-0.003746971498912899,0.4714232895688568,0.9763513513513513
best_time,random_post_vs_cutest,less,9162.0,2.845206669822922e-07,241,296,0.011773769998399075,0.026853177001612494,-0.006265113999688765,0.47144224106313876,0.9763513513513513
best_time,random_raw_vs_random_post,less,21174.0,0.888533534222898,279,296,0.017417021001165267,0.014365729999553878,2.2830001398688182e-05,1.0059318018418724,0.9763513513513513
best_f_final,llm_post_vs_llm_raw,less,2023.0,0.5334208767356992,241,289,2.0605901778482825e-13,1.857609421219613e-14,0.0,,0.9763513513513513
best_f_final,llm_post_vs_random_raw,less,3008.0,7.05533904220147e-18,235,289,1.0189682641060492e-14,1.000000000004,-0.0003145643432844736,,0.9763513513513513
best_f_final,llm_post_vs_random_post,less,4871.0,2.352799197035677e-09,237,289,1.1921600558138852e-14,0.0029180018589336832,0.0,,0.9763513513513513
best_f_final,llm_post_vs_cutest,less,2588.0,2.4323494403843476e-09,236,289,1.3500393200161862e-13,5.348184759823357e-13,0.0,,0.9763513513513513
best_f_final,random_raw_vs_cutest,less,16521.0,0.9999999999999082,240,296,0.5686259406796271,2.0144577496406444e-14,1.0734211991461025e-09,,0.9763513513513513
best_f_final,random_post_vs_cutest,less,13124.0,0.9999871829334598,241,296,0.00014966030968308392,3.421051295078155e-14,0.0,,0.9763513513513513
best_f_final,random_raw_vs_random_post,less,6944.0,0.9999998829805475,279,296,0.02365927424922913,1.983359067610459e-05,0.0,,0.9763513513513513
best_nfev_cost_capped,llm_post_vs_llm_raw,less,2000.0,0.9998318266746423,289,289,19.0,16.0,0.0,1.0,0.9763513513513513
best_nfev_cost_capped,llm_post_vs_random_raw,less,23740.5,0.9999999999998984,289,289,19.0,3.0,4.0,2.25,0.9763513513513513
best_nfev_cost_capped,llm_post_vs_random_post,less,19423.5,0.9999999999710613,289,289,19.0,9.0,2.0,1.2142857142857142,0.9763513513513513
best_nfev_cost_capped,llm_post_vs_cutest,less,3087.0,9.053732404303958e-05,289,289,19.0,18.0,0.0,1.0,0.9763513513513513
best_nfev_cost_capped,random_raw_vs_cutest,less,7771.0,5.306900828500435e-13,296,296,4.0,18.5,-6.0,0.42986090559337087,0.9763513513513513
best_nfev_cost_capped,random_post_vs_cutest,less,8164.5,9.945397820946668e-10,296,296,9.5,18.5,-2.0,0.8181818181818182,0.9763513513513513
best_nfev_cost_capped,random_raw_vs_random_post,less,1331.5,3.255749318997684e-05,296,296,4.0,9.5,0.0,1.0,0.9763513513513513
best_time_cost_capped,llm_post_vs_llm_raw,less,18915.0,0.9989465244624817,289,289,0.012291282997466624,0.01065283800198813,8.440001693088561e-07,1.0001663365221918,0.9763513513513513
best_time_cost_capped,llm_post_vs_random_raw,less,22462.0,0.8993199480979222,289,289,0.012291282997466624,0.018607210997288348,0.00013207299707573839,1.0961846167578027,0.9763513513513513
best_time_cost_capped,llm_post_vs_random_post,less,23252.0,0.9958705623373056,289,289,0.012291282997466624,0.016632836999633582,7.963800453580916e-05,1.0693499274959626,0.9763513513513513
best_time_cost_capped,llm_post_vs_cutest,less,3562.0,4.22835820560815e-26,289,289,0.012291282997466624,0.03417969400106813,-0.005547401997318957,0.6001264369562475,0.9763513513513513
best_time_cost_capped,random_raw_vs_cutest,less,15074.0,2.9538480176573103e-06,296,296,0.02238131950070965,0.03596892349924019,-0.007157924499551882,0.2504277253846538,0.9763513513513513
best_time_cost_capped,random_post_vs_cutest,less,11021.0,2.279640186313448e-12,296,296,0.016973318000964355,0.03596892349924019,-0.008656469000925426,0.3409556440242726,0.9763513513513513
best_time_cost_capped,random_raw_vs_random_post,less,21743.0,0.7456854005039244,296,296,0.02238131950070965,0.016973318000964355,1.1979500413872302e-05,1.0018372209665367,0.9763513513513513
