problem,has_bounds,init_source,n_runs,success_rate,success_any,best_nfev,median_nfev,best_time,median_time,best_f_final,fallback_rate
ACOPP14,TRUE,cutest,1,1,TRUE,13,13,0.028440537,0.028440537,0.000163163,0
ACOPP14,TRUE,llm_post,5,1,TRUE,12,12,0.021213605,0.026593365,0.000171608,0
ACOPP14,TRUE,llm_raw,5,1,TRUE,12,12,0.020898314,0.021009351,0.000160085,0
ACOPP14,TRUE,random_post,10,1,TRUE,13,15,0.022196352,0.024835761,0.000156208,0
ACOPP14,TRUE,random_raw,10,1,TRUE,14,15,0.024788983,0.031307847,0.000146314,0
ACOPP30,TRUE,cutest,1,1,TRUE,13,13,0.031590726,0.031590726,0.000274081,0
ACOPP30,TRUE,llm_post,5,1,TRUE,19,19,0.039095308,0.039554706,3.33E-05,0
ACOPP30,TRUE,llm_raw,5,1,TRUE,22,27,0.04169705,0.052001313,3.72E-05,0
ACOPP30,TRUE,random_post,10,1,TRUE,12,15,0.023617411,0.030253815,3.84E-05,0
ACOPP30,TRUE,random_raw,10,1,TRUE,14,15,0.029885468,0.038429633,2.97E-05,0
ACOPR14,TRUE,cutest,1,1,TRUE,14,14,0.029296152,0.029296152,0.000159926,0
ACOPR14,TRUE,llm_post,5,1,TRUE,14,14,0.022474748,0.031152699,0.000163029,0
ACOPR14,TRUE,llm_raw,5,1,TRUE,14,14,0.023077555,0.023339914,0.00016,0
ACOPR14,TRUE,random_post,10,1,TRUE,14,16.5,0.024214432,0.026837021,0.00014966,0
ACOPR14,TRUE,random_raw,10,1,TRUE,13,15,0.022911958,0.024881195,0.000142202,0
ACOPR30,TRUE,cutest,1,1,TRUE,16,16,0.037715682,0.037715682,3.71E-05,0
ACOPR30,TRUE,llm_post,5,1,TRUE,15,15,0.028710698,0.031783547,3.58E-05,0
ACOPR30,TRUE,llm_raw,5,1,TRUE,14,14,0.026955894,0.027527333,3.84E-05,0
ACOPR30,TRUE,random_post,10,1,TRUE,12,14,0.024192407,0.029221862,3.65E-05,0
ACOPR30,TRUE,random_raw,10,1,TRUE,12,14,0.023431044,0.027640912,3.74E-05,0
AIRPORT,TRUE,cutest,1,1,TRUE,1,1,0.004943093,0.004943093,0,0
AIRPORT,TRUE,llm_post,5,1,TRUE,6,6,0.01440879,0.019492853,3.59E-17,0
AIRPORT,TRUE,llm_raw,5,1,TRUE,1,1,0.001243394,0.001350895,0,0
AIRPORT,TRUE,random_post,10,1,TRUE,6,6,0.01177377,0.014789714,6.42E-17,0
AIRPORT,TRUE,random_raw,10,1,TRUE,6,7,0.011993901,0.013704301,1.80E-20,0
ALLINIT,TRUE,cutest,1,1,TRUE,17,17,0.045706294,0.045706294,16.70596843,0
ALLINIT,TRUE,llm_post,5,1,TRUE,17,17,0.000424058,0.000434749,16.70596843,0
ALLINIT,TRUE,llm_raw,5,1,TRUE,17,17,0.000409654,0.000424591,16.70596843,0
