problem,has_bounds,route_key,constraint_tag,objective_tag,init_source,n_runs,success_rate,success_any,best_nfev,best_time,best_f_final,total_time_sec,total_nfev,llm_total_time_sec,llm_total_nfev,best_time_cost_capped,best_nfev_cost_capped,fallback_rate
ACOPP14,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,13.0,0.02844053700027871,0.00016316316805717627,,,,,0.02844053700027871,13.0,0.0
ACOPP14,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,12.0,0.021213604999502422,0.00017160816816881537,,,0.13219313299487112,60.0,0.021213604999502422,12.0,0.0
ACOPP14,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,12.0,0.020898314000078244,0.0001600845658630823,,,0.10575836000498384,60.0,0.020898314000078244,12.0,0.0
ACOPP14,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,13.0,0.02219635199799086,0.0001562081367317618,0.29120227800740395,157.0,,,0.02219635199799086,13.0,0.0
ACOPP14,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,14.0,0.024788983002508758,0.00014631387598706456,0.318197873999452,167.0,,,0.024788983002508758,14.0,0.0
ACOPP30,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,13.0,0.031590726001013536,0.0002740809786437625,,,,,0.031590726001013536,13.0,0.0
ACOPP30,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,19.0,0.03909530799865024,3.3279040490984065e-05,,,0.2571276790004049,104.0,0.03909530799865024,19.0,0.0
ACOPP30,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,22.0,0.04169704999731039,3.721868860170987e-05,,,0.2513829519957653,130.0,0.04169704999731039,22.0,0.0
ACOPP30,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,12.0,0.02361741099957726,3.8398700859076376e-05,0.31517287099632085,150.0,,,0.02361741099957726,12.0,0.0
ACOPP30,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,14.0,0.029885468000429682,2.9742786757114644e-05,0.4174439109992818,167.0,,,0.029885468000429682,14.0,0.0
ACOPR14,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,14.0,0.029296151999005815,0.00015992640598576417,,,,,0.029296151999005815,14.0,0.0
ACOPR14,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,14.0,0.02247474799878546,0.0001630291871896816,,,0.14841620600418537,70.0,0.02247474799878546,14.0,0.0
ACOPR14,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,14.0,0.023077555000782013,0.00015999996370946143,,,0.11716867100039963,70.0,0.023077555000782013,14.0,0.0
ACOPR14,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,14.0,0.024214432000007946,0.00014966030968308392,0.3082543860109581,169.0,,,0.024214432000007946,14.0,0.0
ACOPR14,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,13.0,0.022911957999895094,0.00014220220232945513,0.2610178619979706,154.0,,,0.022911957999895094,13.0,0.0
ACOPR30,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,16.0,0.03771568199954345,3.7064085977993947e-05,,,,,0.03771568199954345,16.0,0.0
ACOPR30,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,15.0,0.028710697999486,3.579454133006496e-05,,,0.18618920799781336,75.0,0.028710697999486,15.0,0.0
ACOPR30,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,14.0,0.026955893998092506,3.8359732158498545e-05,,,0.13869177300148294,70.0,0.026955893998092506,14.0,0.0
ACOPR30,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,12.0,0.024192406999645755,3.650608120833793e-05,0.3168707870026992,147.0,,,0.024192406999645755,12.0,0.0
ACOPR30,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,12.0,0.02343104399915319,3.737437015713345e-05,0.28907082700243336,150.0,,,0.02343104399915319,12.0,0.0
AIRPORT,True,NLC:LS,NLC,LS,cutest,1,1.0,True,1.0,0.0049430930012022145,0.0,,,,,0.0049430930012022145,1.0,0.0
AIRPORT,True,NLC:LS,NLC,LS,llm_post,5,1.0,True,6.0,0.014408790000743465,3.587698996436491e-17,,,0.09847683500265703,30.0,0.014408790000743465,6.0,0.0
AIRPORT,True,NLC:LS,NLC,LS,llm_raw,5,1.0,True,1.0,0.0012433939991751686,0.0,,,0.026842136998311616,13.0,0.0012433939991751686,1.0,0.0
AIRPORT,True,NLC:LS,NLC,LS,random_post,10,1.0,True,6.0,0.011773769998399075,6.420924652619258e-17,0.16034399200361804,60.0,,,0.011773769998399075,6.0,0.0
AIRPORT,True,NLC:LS,NLC,LS,random_raw,10,1.0,True,6.0,0.01199390100009623,1.7951248502028768e-20,0.136719654990884,67.0,,,0.01199390100009623,6.0,0.0
ALLINIT,True,BSmoothNLP,B,SmoothNLP,cutest,1,1.0,True,17.0,0.04570629400041071,16.705968432885257,,,,,0.04570629400041071,17.0,0.0
ALLINIT,True,BSmoothNLP,B,SmoothNLP,llm_post,5,1.0,True,17.0,0.0004240580019541085,16.70596843287992,,,0.0022781620027672034,92.0,0.0004240580019541085,17.0,0.0
ALLINIT,True,BSmoothNLP,B,SmoothNLP,llm_raw,5,1.0,True,17.0,0.00040965399966808036,16.70596843287992,,,0.002303835000930121,92.0,0.00040965399966808036,17.0,0.0
ALLINIT,True,BSmoothNLP,B,SmoothNLP,random_post,10,1.0,True,27.0,0.000577595998038305,2.5812564142071086e+77,0.007768193001538748,337.0,,,0.000577595998038305,27.0,0.0
ALLINIT,True,BSmoothNLP,B,SmoothNLP,random_raw,10,1.0,True,27.0,0.0006243139978323597,2.5812564142071086e+77,0.021239506004349096,337.0,,,0.0006243139978323597,27.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,cutest,1,1.0,True,19.0,0.05113503099710215,5.744384910324061,,,,,0.05113503099710215,19.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,llm_post,5,1.0,True,19.0,0.0007713189988862723,5.744384910321468,,,0.004121546993701486,99.0,0.0007713189988862723,19.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,llm_raw,5,1.0,True,19.0,0.0007867900021665264,5.744384910321468,,,0.004178851002507145,99.0,0.0007867900021665264,19.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,random_post,10,1.0,True,165.0,0.0017661970014160033,9.357867161504009e+78,0.05287213300471194,2552.0,,,0.0017661970014160033,165.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,random_raw,10,1.0,True,165.0,0.002458808001392754,9.357867161504009e+78,0.06782387099519838,2552.0,,,0.002458808001392754,165.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,14.0,0.02255868399879546,0.006827771973255468,,,,,0.02255868399879546,14.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,12.0,0.01585319099831395,0.006835405387604529,,,0.10306076400229358,81.0,0.01585319099831395,12.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,12.0,0.014327774002595106,0.006827771973255468,,,0.08900124499996309,77.0,0.014327774002595106,12.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,11.0,0.014166365999699337,0.006828765354393154,0.18934017200444941,130.0,,,0.014166365999699337,11.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,8.0,0.01022246300271945,0.006816740688378259,0.1561026210001728,126.0,,,0.01022246300271945,8.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,cutest,1,0.0,False,,,,,,,,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,llm_post,5,0.0,False,,,,,,4.822219068002596,0.0,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,llm_raw,5,0.0,False,,,,,,5.099755575993186,0.0,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,random_post,10,0.0,False,,,,9.714698162006243,0.0,,,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,random_raw,10,0.0,False,,,,9.738964743002725,0.0,,,60.0,1000000.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,1.0,0.004400424997584196,0.0,,,,,0.004400424997584196,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,1.0,0.001431622000382049,0.0,,,0.012081621993274894,5.0,0.001431622000382049,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,1.0,0.0010269109989167191,0.0,,,0.0053553920006379485,5.0,0.0010269109989167191,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.0010486920000403188,0.0,0.011900569996214472,10.0,,,0.0010486920000403188,1.0,0.0
